objectid,id,nombre_est,rue,respaldo_i,origen_alt,url_ficha,altura,cod_com,uuid,longitud,latitud,altura
68,69,Lo Campo,50570201,Sin información,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=69,482,05704,5798c0ec-a22d-4923-a286-4c617b92994a,-70.89805313999994,-32.797842180999965,482
69,90,Camisas,0,RCA N° 038/04 y Representatividad Poblacional a través de Res. N° 2908 de 13 de diciembre de 2006 de la SEREMI de Salud,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=90,771,04204,5798c0ec-a22d-4923-a286-4c617b92994a,-70.95520315999994,-31.88075185499997,771
70,58,Junta de Vecinos,0,"SSVQ Nro306 28 enero 2004
SSVQ Nro0207 SAG 408 23 julio 2002
SSVQ Nro50 SAG Nro0037 31 enero 2000",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=58,107,05103,5798c0ec-a22d-4923-a286-4c617b92994a,-71.52578614099997,-32.935295853999946,107
71,55,Concón sur,50510302,"SSVQ Nro306 28 enero 2004
SSVQ Nro0207 SAG 408 23 julio 2002
SSVQ Nro50 SAG Nro0037 31 enero 2000",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=55,107,05103,5798c0ec-a22d-4923-a286-4c617b92994a,-71.52803792099996,-32.93288787599994,107
72,81,Terminal de Combustible Campiche,50510501,Resolución Exenta 01/1999,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=81,35,05105,5798c0ec-a22d-4923-a286-4c617b92994a,-71.45085659699998,-32.73620138399997,35
73,53,CI-Meteorologica,50510508,Sin información,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=53,35,05105,5798c0ec-a22d-4923-a286-4c617b92994a,-71.48410321099993,-32.765853378999964,35
74,49,Los Maitenes,50510504,SSVQ Nro212 SAG Nro0105 12 de abril 2002,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=49,41,05105,5798c0ec-a22d-4923-a286-4c617b92994a,-71.45264646499999,-32.761793488999956,41
75,48,La Greda,50510503,SSVQ Nro2005 SAG 115 29 abril 1992-SSVQ Nro3474 SAG 206 23 julio 1992 - SSVQ Nro2161 18 julio 1995 - SSVQ Nro53 SAG Nro0040 31 enero 2000,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=48,33,05105,5798c0ec-a22d-4923-a286-4c617b92994a,-71.47420495299997,-32.745237602999964,33
76,47,Terminal Concentrados,50510502,Resolución Exenta 01/1999,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=47,28,05105,5798c0ec-a22d-4923-a286-4c617b92994a,-71.48010772299995,-32.75109026599995,28
77,45,ARMAT,50510601,SSVQ Nro212 SAG Nro0105 12 de abril 2002,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=45,172,05801,5798c0ec-a22d-4923-a286-4c617b92994a,-71.42929245899995,-33.03910298499994,172
